2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 91]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\text\invitation.ctp, line 1]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\text\invitation.ctp, line 17]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\html\invitation.ctp, line 1]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\html\invitation.ctp, line 12]
2011-11-29 20:07:20 Debug: Notice (8): Undefined variable: title_for_layout in [E:\wamp\www\website\discoverycast\app\views\users\edit.ctp, line 2]
2011-12-01 16:57:32 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\home\home.ctp, line 1]
2011-12-01 17:20:51 Debug: Notice (8): Undefined property: HomeController::$User in [E:\wamp\www\website\discoverycast\app\controllers\home_controller.php, line 35]
2011-12-03 10:30:12 Debug: Notice (8): Undefined variable: price_filter_rent in [E:\wamp\www\website\discoverycast\app\config\common_vars.php, line 31]
2011-12-03 10:30:14 Debug: Notice (8): Undefined variable: price_filter_rent in [E:\wamp\www\website\discoverycast\app\config\common_vars.php, line 31]
2011-12-03 15:27:55 Debug: Notice (8): Undefined property: AvatarsController::$pdf_dest in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 87]
2011-12-03 15:28:10 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_index.ctp, line 38]
2011-12-03 15:28:38 Debug: Notice (8): Undefined variable: action in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_add.ctp, line 17]
2011-12-03 15:28:38 Debug: Notice (8): Undefined variable: action in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_add.ctp, line 27]
2011-12-03 15:32:52 Debug: Notice (8): Undefined index:  image in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 157]
2011-12-03 15:33:27 Debug: Notice (8): Undefined index:  image in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 157]
2011-12-03 15:36:23 Debug: Notice (8): Undefined index:  Avatar in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_index.ctp, line 40]
2011-12-03 15:37:50 Debug: Notice (8): Undefined index:  image in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 157]
2011-12-03 15:38:16 Debug: Notice (8): Array to string conversion in [E:\wamp\www\website\discoverycast\cake\libs\model\datasources\dbo_source.php, line 749]
2011-12-03 15:38:43 Debug: Notice (8): Array to string conversion in [E:\wamp\www\website\discoverycast\cake\libs\model\datasources\dbo_source.php, line 749]
2011-12-03 16:53:06 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 273]
2011-12-03 16:53:29 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\views\layouts\default.ctp, line 59]
2011-12-03 16:53:29 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 273]
2011-12-03 16:54:27 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\views\layouts\default.ctp, line 59]
2011-12-03 16:54:27 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 273]
2011-12-03 16:58:00 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 273]
2011-12-03 16:58:20 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 273]
2011-12-03 16:59:29 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 281]
2011-12-03 16:59:56 Debug: Notice (8): Undefined variable: event_id in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 282]
2011-12-03 17:21:12 Debug: Notice (8): Undefined index:  requested in [E:\wamp\www\website\discoverycast\app\app_controller.php, line 284]
2011-12-03 17:53:05 Debug: Notice (8): Undefined property: EventsController::$Post in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 286]
2011-12-04 06:24:34 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 06:24:51 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 08:00:38 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 13:46:10 Debug: Notice (8): Undefined property: UsersController::$Event in [E:\wamp\www\website\discoverycast\app\app_controller.php, line 308]
2011-12-04 17:07:12 Debug: Notice (8): Undefined index:  id in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:07:12 Debug: Notice (8): Undefined index:  keyword in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:07:12 Debug: Notice (8): Undefined index:  id in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 12]
2011-12-04 17:07:20 Debug: Notice (8): Undefined index:  id in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:07:20 Debug: Notice (8): Undefined index:  keyword in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:07:20 Debug: Notice (8): Undefined index:  id in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 12]
2011-12-04 17:07:50 Debug: Notice (8): Undefined index:  keyword in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:09:58 Debug: Notice (8): Undefined index:  keyword in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:10:14 Debug: Notice (8): Undefined index:  keyword in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:11:48 Debug: Notice (8): Undefined index:  id in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:11:48 Debug: Notice (8): Undefined index:  keyword in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-04 17:25:56 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:25:59 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:26:56 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:43:43 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:43:53 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:44:10 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:44:20 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-04 17:44:39 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-07 18:43:48 Debug: Notice (8): Undefined variable: event_array in [E:\wamp\www\website\discoverycast\app\views\home\help.ctp, line 1]
2011-12-10 12:51:20 Debug: Notice (8): Object of class QuestionsController to string conversion in [E:\wamp\www\website\discoverycast\app\controllers\questions_controller.php, line 210]
2011-12-10 12:51:20 Debug: Notice (8): Undefined variable: Object in [E:\wamp\www\website\discoverycast\app\controllers\questions_controller.php, line 210]
2011-12-10 12:51:20 Debug: Notice (8): Trying to get property of non-object in [E:\wamp\www\website\discoverycast\app\controllers\questions_controller.php, line 210]
2011-12-10 15:01:12 Debug: Notice (8): Undefined property: QuestionsController::$Idea in [E:\wamp\www\website\discoverycast\app\controllers\questions_controller.php, line 170]
2011-12-10 15:42:15 Debug: Notice (8): Undefined index:  parent_id in [E:\wamp\www\website\discoverycast\cake\libs\model\model.php, line 2337]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 12]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 17]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 18]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 19]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 25]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 27]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 34]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 42]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 48]
2011-12-10 15:42:58 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 59]
2011-12-10 15:42:58 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 104]
2011-12-10 15:42:58 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 149]
2011-12-10 15:42:58 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 193]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 253]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 254]
2011-12-10 15:42:58 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 256]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 12]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 17]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 18]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 19]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 25]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 27]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 34]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 42]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 48]
2011-12-10 15:46:10 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 59]
2011-12-10 15:46:10 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 104]
2011-12-10 15:46:10 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 149]
2011-12-10 15:46:10 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 193]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 253]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 254]
2011-12-10 15:46:10 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 256]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 12]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 17]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 18]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 19]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 25]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 27]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 34]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 42]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 48]
2011-12-10 15:50:54 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 59]
2011-12-10 15:50:54 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 104]
2011-12-10 15:50:54 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 149]
2011-12-10 15:50:54 Debug: Notice (8): Uninitialized string offset:  0 in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 193]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 253]
2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 254]
